date,signal_x,signal_y
2024-01-22,-1,-1
2024-01-26,-1,-1
2024-01-29,-1,-1
2024-02-08,-1,-1
2024-02-10,-1,-1
2024-02-21,-1,-1
2024-03-05,-1,-1
2024-03-07,-1,-1
2024-03-20,-1,-1
2024-03-22,-1,-1
2024-03-26,-1,-1
2024-04-04,-1,-1
2024-04-06,-1,-1
2024-04-10,-1,-1
2024-04-19,-1,-1
2024-04-25,-1,-1
2024-05-06,-1,-1
2024-05-23,-1,-1
2024-05-25,-1,-1
2024-05-27,-1,-1
2024-05-29,-1,-1
2024-06-03,-1,-1
2024-06-05,-1,-1
2024-06-07,-1,-1
2024-06-09,-1,-1
2024-06-13,-1,-1
2024-06-18,-1,-1
2024-06-24,-1,-1
2024-06-26,-1,-1
2024-07-03,-1,-1
2024-07-09,-1,-1
2024-07-11,-1,-1
2024-07-14,-1,-1
2024-07-18,-1,-1
2024-07-21,-1,-1
2024-07-26,-1,-1
2024-08-01,-1,-1
2024-08-04,-1,-1
2024-08-08,-1,-1
2024-08-19,-1,-1
2024-08-24,-1,-1
2024-09-01,-1,-1
2024-09-08,-1,-1
2024-09-11,-1,-1
2024-09-17,-1,-1
2024-09-23,-1,-1
2024-10-01,-1,-1
2024-10-04,-1,-1
2024-10-06,-1,-1
2024-10-08,-1,-1
2024-10-16,-1,-1
2024-10-23,-1,-1
2024-11-02,-1,-1
2024-11-09,-1,-1
2024-11-15,-1,-1
2024-11-18,-1,-1
2024-11-21,-1,-1
2024-11-23,-1,-1
2024-12-03,-1,-1
2024-12-07,-1,-1
2024-12-14,-1,-1
2024-12-17,-1,-1
2024-12-19,-1,-1
2024-12-21,-1,-1
2024-12-23,-1,-1
